"Order_ID","Buyer_ID","Supplier_ID","Product_Category","Quantity_Ordered","Order_Date","Dispatch_Date","Delivery_Date","Shipping_Mode","Order_Value_USD","Delay_Days","Disruption_Type","Disruption_Severity","Supply_Risk_Flag","order_month","Days_Until_Delivered","Days_Until_Dispatch","Actual_Transit_Days","Order_Quarter","On_Time_Flag"
"O1013","B49","S8","Pharma",60,2023-08-26,2023-08-28,2023-09-05,"Sea",15083.66,1,"Weather","Low",1,"2023-08",10,2,8,"Q3",0
"O1014","B3","S5","Textiles",38,2023-12-22,2023-12-23,2024-01-01,"Air",1208.61,7,"Customs","Low",1,"2023-12",10,1,9,"Q4",0
"O1015","B34","S9","Pharma",471,2023-06-22,2023-06-24,2023-06-27,"Air",37024.54,0,"None","None",0,"2023-06",5,2,3,"Q2",1
"O1016","B7","S27","Textiles",305,2023-08-09,2023-08-10,2023-08-13,"Sea",41790.16,1,"Customs","Low",1,"2023-08",4,1,3,"Q3",0
"O1017","B17","S16","Machinery",306,2023-04-29,2023-04-30,2023-05-07,"Air",37153.57,0,"None","None",0,"2023-04",8,1,7,"Q2",1
"O1018","B22","S8","Electronics",735,2023-11-05,2023-11-07,2023-11-14,"Sea",7571.09,2,"Customs","Low",1,"2023-11",9,2,7,"Q4",0
"O1019","B36","S18","Textiles",788,2023-07-02,2023-07-04,2023-07-12,"Air",37794.68,5,"Customs","Medium",1,"2023-07",10,2,8,"Q3",0
"O1020","B37","S24","Pharma",416,2023-10-15,2023-10-17,2023-11-01,"Road",38561.68,10,"Strike","High",1,"2023-10",17,2,15,"Q4",0
"O1021","B31","S9","Machinery",778,2023-11-03,2023-11-06,2023-11-12,"Road",33097.76,0,"None","None",0,"2023-11",9,3,6,"Q4",1
"O1022","B50","S21","Textiles",823,2023-10-27,2023-10-30,2023-11-05,"Sea",38422.74,2,"Weather","Low",1,"2023-10",9,3,6,"Q4",0
"O1023","B41","S12","Electronics",622,2023-03-23,2023-03-24,2023-04-03,"Air",42373.11,7,"Customs","Low",1,"2023-03",11,1,10,"Q1",0
"O1024","B23","S21","Electronics",414,2023-07-30,2023-08-03,2023-08-12,"Rail",30873.4,1,"Strike","Low",1,"2023-07",13,4,9,"Q3",0
"O1025","B6","S7","Food",355,2023-05-30,2023-06-02,2023-06-06,"Air",4885.93,3,"Strike","Low",1,"2023-05",7,3,4,"Q2",0
"O1026","B37","S23","Food",631,2023-02-06,2023-02-10,2023-02-14,"Road",24637.58,3,"Strike","Low",1,"2023-02",8,4,4,"Q1",0
"O1027","B23","S10","Pharma",429,2023-12-18,2023-12-20,2023-12-27,"Road",4343.64,0,"None","None",0,"2023-12",9,2,7,"Q4",1
"O1028","B14","S7","Textiles",191,2023-11-08,2023-11-12,2023-11-18,"Air",20673.38,2,"Strike","Low",1,"2023-11",10,4,6,"Q4",0
"O1029","B39","S16","Textiles",992,2023-12-27,2023-12-30,2024-01-08,"Air",20651.77,7,"Shortage","High",1,"2023-12",12,3,9,"Q4",0
"O1030","B34","S3","Food",834,2023-02-28,2023-03-02,2023-03-13,"Rail",3767.49,7,"Strike","Low",1,"2023-02",13,2,11,"Q1",0
"O1031","B35","S16","Textiles",10,2023-05-11,2023-05-14,2023-05-18,"Rail",17766.62,1,"Customs","Low",1,"2023-05",7,3,4,"Q2",0
"O1032","B2","S11","Textiles",840,2023-07-21,2023-07-25,2023-07-29,"Air",5994.41,2,"Customs","High",1,"2023-07",8,4,4,"Q3",0
"O1033","B4","S2","Electronics",959,2023-08-31,2023-09-04,2023-09-09,"Air",40507.64,0,"None","None",0,"2023-08",9,4,5,"Q3",1
"O1034","B41","S20","Food",576,2023-02-04,2023-02-08,2023-02-10,"Air",47410.56,0,"None","None",0,"2023-02",6,4,2,"Q1",1
"O1035","B32","S16","Machinery",380,2023-04-03,2023-04-07,2023-04-12,"Air",4079.67,0,"None","None",0,"2023-04",9,4,5,"Q2",1
"O1036","B4","S17","Food",945,2023-07-26,2023-07-30,2023-08-06,"Sea",47778.2,1,"Customs","Low",1,"2023-07",11,4,7,"Q3",0
"O1037","B37","S6","Machinery",920,2023-12-19,2023-12-20,2023-12-25,"Air",26367.54,1,"Customs","Medium",1,"2023-12",6,1,5,"Q4",0
"O1038","B13","S12","Electronics",670,2023-11-28,2023-11-29,2023-11-30,"Rail",15328.5,0,"None","None",0,"2023-11",2,1,1,"Q4",1
"O1039","B11","S27","Pharma",440,2023-11-01,2023-11-05,2023-11-15,"Road",4304.67,1,"Strike","High",1,"2023-11",14,4,10,"Q4",0
"O1040","B35","S14","Textiles",978,2023-12-16,2023-12-20,2024-01-06,"Sea",25280.9,10,"Weather","Low",1,"2023-12",21,4,17,"Q4",0
"O1041","B4","S7","Electronics",318,2023-08-01,2023-08-05,2023-08-10,"Air",39828.52,3,"Shortage","High",1,"2023-08",9,4,5,"Q3",0
"O1042","B45","S20","Textiles",146,2023-06-08,2023-06-09,2023-06-17,"Road",35500.78,0,"None","None",0,"2023-06",9,1,8,"Q2",1
"O1043","B7","S5","Pharma",211,2023-01-24,2023-01-27,2023-02-02,"Sea",2986.19,2,"Shortage","Low",1,"2023-01",9,3,6,"Q1",0
"O1044","B26","S1","Pharma",445,2023-10-20,2023-10-23,2023-10-31,"Road",4108.64,0,"None","None",0,"2023-10",11,3,8,"Q4",1
"O1045","B29","S16","Electronics",322,2023-01-04,2023-01-08,2023-01-16,"Air",20442.23,2,"Weather","Low",1,"2023-01",12,4,8,"Q1",0
"O1046","B21","S1","Pharma",126,2023-08-08,2023-08-10,2023-08-14,"Air",15116.88,0,"None","None",0,"2023-08",6,2,4,"Q3",1
"O1047","B48","S15","Machinery",675,2023-12-30,2024-01-03,2024-01-14,"Rail",12003.02,3,"Strike","Low",1,"2023-12",15,4,11,"Q4",0
"O1048","B4","S18","Pharma",946,2023-01-20,2023-01-24,2023-01-29,"Air",14409.72,1,"Shortage","Medium",1,"2023-01",9,4,5,"Q1",0
"O1049","B29","S3","Textiles",812,2023-06-01,2023-06-05,2023-06-13,"Air",40272.4,3,"Strike","Low",1,"2023-06",12,4,8,"Q2",0
"O1050","B49","S2","Textiles",584,2023-02-19,2023-02-21,2023-02-28,"Sea",46496.79,0,"None","None",0,"2023-02",9,2,7,"Q1",1
"O1051","B22","S7","Textiles",253,2023-06-26,2023-06-28,2023-06-30,"Rail",20552.58,0,"None","None",0,"2023-06",4,2,2,"Q2",1
"O1052","B3","S9","Textiles",546,2023-04-06,2023-04-08,2023-04-18,"Sea",45352.49,3,"Shortage","Low",1,"2023-04",12,2,10,"Q2",0
"O1053","B34","S4","Machinery",611,2023-04-15,2023-04-18,2023-04-21,"Road",16414.04,1,"Strike","Low",1,"2023-04",6,3,3,"Q2",0
"O1054","B20","S17","Food",84,2023-09-07,2023-09-11,2023-09-13,"Air",24083.63,1,"Shortage","Low",1,"2023-09",6,4,2,"Q3",0
"O1055","B3","S30","Electronics",815,2023-04-27,2023-04-28,2023-05-16,"Road",11688.44,10,"Weather","High",1,"2023-04",19,1,18,"Q2",0
"O1056","B21","S21","Textiles",395,2023-12-20,2023-12-23,2024-01-11,"Sea",32203.56,10,"Weather","High",1,"2023-12",22,3,19,"Q4",0
"O1057","B40","S5","Pharma",912,2023-08-16,2023-08-20,2023-08-29,"Air",48959.57,5,"Weather","Medium",1,"2023-08",13,4,9,"Q3",0
"O1058","B25","S1","Textiles",219,2023-03-07,2023-03-11,2023-03-18,"Air",30372.91,1,"Shortage","Medium",1,"2023-03",11,4,7,"Q1",0
"O1059","B24","S29","Pharma",484,2023-12-01,2023-12-02,2023-12-07,"Sea",18211.8,3,"Shortage","Low",1,"2023-12",6,1,5,"Q4",0
"O1060","B17","S13","Pharma",427,2023-09-19,2023-09-20,2023-10-01,"Sea",32566.96,3,"Weather","Low",1,"2023-09",12,1,11,"Q3",0
"O1061","B6","S8","Textiles",356,2023-10-22,2023-10-25,2023-11-01,"Sea",6584.57,2,"Shortage","Medium",1,"2023-10",10,3,7,"Q4",0
"O1062","B12","S8","Machinery",538,2023-08-31,2023-09-04,2023-09-09,"Sea",44488.62,0,"None","None",0,"2023-08",9,4,5,"Q3",1
"O1063","B49","S2","Pharma",649,2023-07-05,2023-07-07,2023-07-17,"Sea",25402.66,1,"Weather","High",1,"2023-07",12,2,10,"Q3",0
"O1064","B5","S5","Pharma",948,2023-09-03,2023-09-04,2023-09-10,"Air",22742.81,5,"Shortage","High",1,"2023-09",7,1,6,"Q3",0
"O1065","B31","S4","Textiles",964,2023-05-05,2023-05-07,2023-05-13,"Sea",29500.31,2,"Strike","Low",1,"2023-05",8,2,6,"Q2",0
"O1066","B24","S13","Pharma",885,2023-09-25,2023-09-27,2023-10-06,"Air",31426.8,2,"Strike","Low",1,"2023-09",11,2,9,"Q3",0
"O1067","B33","S12","Pharma",772,2023-05-11,2023-05-15,2023-05-17,"Air",4052.9,0,"None","None",0,"2023-05",6,4,2,"Q2",1
"O1068","B25","S29","Textiles",188,2023-08-25,2023-08-28,2023-09-02,"Sea",34289.55,2,"Customs","Low",1,"2023-08",8,3,5,"Q3",0
"O1069","B44","S26","Textiles",191,2023-01-18,2023-01-19,2023-01-22,"Sea",12475.62,0,"None","None",0,"2023-01",4,1,3,"Q1",1
"O1070","B15","S12","Electronics",673,2023-02-09,2023-02-13,2023-02-25,"Rail",35840.66,5,"Shortage","Medium",1,"2023-02",16,4,12,"Q1",0
"O1071","B35","S23","Machinery",34,2023-01-21,2023-01-24,2023-02-10,"Air",41215.47,10,"Weather","Medium",1,"2023-01",20,3,17,"Q1",0
"O1072","B12","S10","Machinery",976,2023-08-13,2023-08-17,2023-08-24,"Sea",40295.95,2,"Customs","Low",1,"2023-08",11,4,7,"Q3",0
"O1073","B42","S27","Pharma",189,2023-12-21,2023-12-25,2024-01-04,"Sea",27848.8,5,"Customs","Medium",1,"2023-12",14,4,10,"Q4",0
"O1074","B5","S2","Machinery",719,2023-10-09,2023-10-11,2023-10-26,"Sea",26248.41,10,"Customs","Medium",1,"2023-10",17,2,15,"Q4",0
"O1075","B50","S28","Pharma",510,2023-01-08,2023-01-11,2023-01-20,"Rail",7572.36,3,"Weather","Low",1,"2023-01",12,3,9,"Q1",0
"O1076","B17","S18","Electronics",865,2023-04-10,2023-04-12,2023-04-23,"Rail",38879.63,10,"Shortage","Low",1,"2023-04",13,2,11,"Q2",0
"O1077","B12","S14","Textiles",170,2023-08-28,2023-09-01,2023-09-04,"Road",13934.76,1,"Weather","Medium",1,"2023-08",7,4,3,"Q3",0
"O1078","B46","S24","Textiles",186,2023-03-28,2023-04-01,2023-04-08,"Air",25086.42,0,"None","None",0,"2023-03",11,4,7,"Q1",1
"O1079","B46","S14","Textiles",294,2023-10-25,2023-10-26,2023-10-31,"Road",14571.57,0,"None","None",0,"2023-10",6,1,5,"Q4",1
"O1080","B22","S14","Machinery",72,2023-01-14,2023-01-18,2023-01-25,"Sea",7124.5,1,"Customs","Low",1,"2023-01",11,4,7,"Q1",0
"O1081","B12","S8","Electronics",671,2023-11-30,2023-12-01,2023-12-05,"Rail",31663.11,0,"None","None",0,"2023-11",5,1,4,"Q4",1
"O1082","B45","S15","Machinery",675,2023-01-02,2023-01-06,2023-01-17,"Rail",3189.44,3,"Weather","Low",1,"2023-01",15,4,11,"Q1",0
"O1083","B40","S10","Machinery",165,2023-10-20,2023-10-24,2023-10-30,"Road",37557.94,0,"None","None",0,"2023-10",10,4,6,"Q4",1
"O1084","B13","S2","Electronics",891,2023-11-21,2023-11-23,2023-11-28,"Rail",16220.55,2,"Strike","High",1,"2023-11",7,2,5,"Q4",0
"O1085","B6","S2","Electronics",478,2023-02-10,2023-02-14,2023-02-18,"Sea",506.67,0,"None","None",0,"2023-02",8,4,4,"Q1",1
"O1086","B42","S7","Electronics",58,2023-11-14,2023-11-15,2023-11-18,"Rail",25800.89,1,"Customs","High",1,"2023-11",4,1,3,"Q4",0
"O1087","B24","S14","Electronics",976,2023-11-12,2023-11-13,2023-11-14,"Road",2819.17,0,"None","None",0,"2023-11",2,1,1,"Q4",1
"O1088","B22","S5","Textiles",858,2023-04-21,2023-04-25,2023-05-05,"Sea",14170.39,5,"Customs","Medium",1,"2023-04",14,4,10,"Q2",0
"O1089","B1","S29","Food",93,2023-01-14,2023-01-18,2023-01-19,"Road",35495.34,0,"None","None",0,"2023-01",5,4,1,"Q1",1
"O1090","B25","S1","Food",370,2023-08-19,2023-08-20,2023-08-24,"Rail",3603.14,3,"Shortage","Low",1,"2023-08",5,1,4,"Q3",0
"O1091","B49","S22","Electronics",698,2023-03-25,2023-03-28,2023-03-31,"Road",42047.26,0,"None","None",0,"2023-03",6,3,3,"Q1",1
"O1092","B40","S13","Food",157,2023-05-10,2023-05-13,2023-05-15,"Road",689.09,0,"None","None",0,"2023-05",5,3,2,"Q2",1
"O1093","B15","S18","Food",639,2023-08-19,2023-08-21,2023-08-25,"Air",12717.78,0,"None","None",0,"2023-08",6,2,4,"Q3",1
"O1094","B32","S24","Electronics",351,2023-11-22,2023-11-23,2023-12-03,"Rail",37174.75,3,"Customs","Low",1,"2023-11",11,1,10,"Q4",0
"O1095","B32","S25","Food",485,2023-05-25,2023-05-28,2023-06-02,"Rail",16155.37,0,"None","None",0,"2023-05",8,3,5,"Q2",1
"O1096","B10","S30","Machinery",72,2023-12-11,2023-12-12,2023-12-19,"Road",5543.67,1,"Weather","Low",1,"2023-12",8,1,7,"Q4",0
"O1097","B20","S10","Pharma",710,2023-01-28,2023-01-31,2023-02-07,"Air",18331.58,0,"None","None",0,"2023-01",10,3,7,"Q1",1
"O1098","B46","S12","Pharma",369,2023-03-07,2023-03-08,2023-03-12,"Rail",13884.47,2,"Strike","Low",1,"2023-03",5,1,4,"Q1",0
"O1099","B21","S30","Electronics",570,2023-06-12,2023-06-15,2023-06-23,"Sea",42214.24,0,"None","None",0,"2023-06",11,3,8,"Q2",1
"O1100","B3","S23","Textiles",336,2023-08-17,2023-08-21,2023-08-27,"Road",16010.72,0,"None","None",0,"2023-08",10,4,6,"Q3",1
"O1101","B46","S17","Electronics",778,2023-09-18,2023-09-19,2023-09-24,"Rail",39552.16,1,"Weather","Medium",1,"2023-09",6,1,5,"Q3",0
"O1102","B31","S23","Textiles",745,2023-06-13,2023-06-14,2023-06-20,"Sea",44647.67,3,"Customs","High",1,"2023-06",7,1,6,"Q2",0
"O1103","B42","S17","Pharma",150,2023-10-28,2023-10-31,2023-11-11,"Rail",21973.96,7,"Strike","Medium",1,"2023-10",14,3,11,"Q4",0
"O1104","B44","S10","Electronics",999,2023-10-30,2023-10-31,2023-11-16,"Sea",45542.19,10,"Shortage","High",1,"2023-10",17,1,16,"Q4",0
"O1105","B5","S26","Machinery",224,2023-10-14,2023-10-16,2023-10-22,"Road",19177.24,5,"Weather","Low",1,"2023-10",8,2,6,"Q4",0
"O1106","B28","S22","Food",444,2023-01-10,2023-01-13,2023-01-18,"Rail",48221.88,3,"Shortage","Low",1,"2023-01",8,3,5,"Q1",0
"O1107","B40","S17","Textiles",900,2023-07-14,2023-07-17,2023-07-23,"Rail",4919.83,1,"Strike","Low",1,"2023-07",9,3,6,"Q3",0
"O1108","B16","S15","Food",961,2023-04-28,2023-04-30,2023-05-02,"Air",34507.45,0,"None","None",0,"2023-04",4,2,2,"Q2",1
"O1109","B34","S16","Food",732,2023-09-27,2023-10-01,2023-10-07,"Road",24943.8,0,"None","None",0,"2023-09",10,4,6,"Q3",1
"O1110","B38","S26","Electronics",327,2023-03-21,2023-03-24,2023-03-25,"Sea",19688.62,0,"None","None",0,"2023-03",4,3,1,"Q1",1
"O1111","B12","S15","Food",41,2023-04-03,2023-04-05,2023-04-10,"Rail",31819.24,0,"None","None",0,"2023-04",7,2,5,"Q2",1
"O1112","B32","S9","Machinery",679,2023-09-23,2023-09-26,2023-09-29,"Rail",35340.93,0,"None","None",0,"2023-09",6,3,3,"Q3",1
"O1113","B43","S1","Food",294,2023-11-28,2023-11-30,2023-12-03,"Sea",715.98,1,"Weather","Medium",1,"2023-11",5,2,3,"Q4",0
"O1114","B26","S28","Electronics",314,2023-12-16,2023-12-17,2023-12-20,"Road",8764.18,0,"None","None",0,"2023-12",4,1,3,"Q4",1
"O1115","B33","S22","Machinery",438,2023-12-27,2023-12-29,2024-01-02,"Air",35795.78,0,"None","None",0,"2023-12",6,2,4,"Q4",1
"O1116","B32","S26","Pharma",486,2023-09-14,2023-09-15,2023-10-04,"Air",33486.08,10,"Shortage","Low",1,"2023-09",20,1,19,"Q3",0
"O1117","B43","S13","Food",295,2023-05-13,2023-05-16,2023-05-20,"Rail",48319.35,1,"Weather","High",1,"2023-05",7,3,4,"Q2",0
"O1118","B6","S18","Electronics",153,2023-10-03,2023-10-07,2023-10-16,"Sea",38171.37,2,"Shortage","High",1,"2023-10",13,4,9,"Q4",0
"O1119","B1","S13","Pharma",433,2023-09-21,2023-09-22,2023-09-28,"Rail",47563.25,0,"None","None",0,"2023-09",7,1,6,"Q3",1
"O1120","B38","S12","Pharma",28,2023-06-20,2023-06-22,2023-07-07,"Sea",35275.75,10,"Weather","Medium",1,"2023-06",17,2,15,"Q2",0
"O1121","B14","S3","Textiles",27,2023-01-01,2023-01-02,2023-01-03,"Air",15253.58,0,"None","None",0,"2023-01",2,1,1,"Q1",1
"O1122","B39","S13","Machinery",778,2023-11-09,2023-11-11,2023-11-16,"Road",5715.56,2,"Shortage","Medium",1,"2023-11",7,2,5,"Q4",0
"O1123","B8","S11","Food",599,2023-03-05,2023-03-08,2023-03-10,"Sea",39200.28,0,"None","None",0,"2023-03",5,3,2,"Q1",1
"O1124","B25","S8","Electronics",380,2023-10-11,2023-10-12,2023-10-15,"Air",32385.39,0,"None","None",0,"2023-10",4,1,3,"Q4",1
"O1125","B45","S22","Textiles",184,2023-05-01,2023-05-04,2023-05-17,"Rail",2885.21,10,"Weather","High",1,"2023-05",16,3,13,"Q2",0
"O1126","B1","S16","Machinery",203,2023-04-17,2023-04-21,2023-05-01,"Sea",18322.5,2,"Strike","Medium",1,"2023-04",14,4,10,"Q2",0
"O1127","B1","S3","Textiles",511,2023-06-24,2023-06-26,2023-07-04,"Road",47861.59,1,"Strike","Low",1,"2023-06",10,2,8,"Q2",0
"O1128","B24","S13","Machinery",997,2023-07-23,2023-07-25,2023-07-28,"Rail",25269.86,0,"None","None",0,"2023-07",5,2,3,"Q3",1
"O1129","B2","S17","Machinery",122,2023-06-14,2023-06-15,2023-06-16,"Rail",21920.09,0,"None","None",0,"2023-06",2,1,1,"Q2",1
"O1130","B41","S18","Food",123,2023-11-01,2023-11-02,2023-11-07,"Air",23156.13,0,"None","None",0,"2023-11",6,1,5,"Q4",1
"O1131","B43","S5","Machinery",231,2023-04-30,2023-05-02,2023-05-10,"Sea",10839.69,2,"Shortage","Medium",1,"2023-04",10,2,8,"Q2",0
"O1132","B32","S23","Textiles",687,2023-02-13,2023-02-15,2023-02-20,"Rail",18751,3,"Strike","Low",1,"2023-02",7,2,5,"Q1",0
"O1133","B22","S16","Machinery",956,2023-11-08,2023-11-09,2023-11-10,"Road",18805.76,0,"None","None",0,"2023-11",2,1,1,"Q4",1
"O1134","B33","S8","Food",840,2023-06-05,2023-06-09,2023-06-14,"Sea",3091.57,0,"None","None",0,"2023-06",9,4,5,"Q2",1
"O1135","B34","S1","Food",653,2023-07-26,2023-07-28,2023-07-29,"Road",38494.6,0,"None","None",0,"2023-07",3,2,1,"Q3",1
"O1136","B20","S22","Textiles",906,2023-04-18,2023-04-20,2023-04-26,"Rail",21116.97,3,"Weather","High",1,"2023-04",8,2,6,"Q2",0
"O1137","B39","S30","Pharma",273,2023-09-08,2023-09-12,2023-09-18,"Road",41197.9,3,"Strike","High",1,"2023-09",10,4,6,"Q3",0
"O1138","B45","S20","Pharma",934,2023-11-30,2023-12-04,2023-12-08,"Air",42592.23,0,"None","None",0,"2023-11",8,4,4,"Q4",1
"O1139","B49","S19","Machinery",64,2023-05-10,2023-05-13,2023-05-21,"Road",10993.71,2,"Strike","Low",1,"2023-05",11,3,8,"Q2",0
"O1140","B35","S3","Electronics",880,2023-10-20,2023-10-22,2023-10-26,"Sea",33039,0,"None","None",0,"2023-10",6,2,4,"Q4",1
"O1141","B21","S22","Machinery",652,2023-01-20,2023-01-22,2023-01-27,"Road",23877.95,0,"None","None",0,"2023-01",7,2,5,"Q1",1
"O1142","B22","S23","Textiles",809,2023-10-09,2023-10-11,2023-10-18,"Road",44067.76,0,"None","None",0,"2023-10",9,2,7,"Q4",1
"O1143","B15","S7","Textiles",787,2023-10-12,2023-10-16,2023-10-21,"Air",11179.16,1,"Shortage","Medium",1,"2023-10",9,4,5,"Q4",0
"O1144","B33","S24","Textiles",467,2023-01-01,2023-01-04,2023-01-14,"Road",34051.75,2,"Shortage","Medium",1,"2023-01",13,3,10,"Q1",0
"O1145","B34","S19","Textiles",988,2023-04-29,2023-05-03,2023-05-05,"Road",30583.73,0,"None","None",0,"2023-04",6,4,2,"Q2",1
"O1146","B47","S8","Textiles",887,2023-02-04,2023-02-08,2023-02-19,"Rail",15117.42,5,"Weather","Low",1,"2023-02",15,4,11,"Q1",0
"O1147","B1","S11","Food",171,2023-07-17,2023-07-21,2023-07-23,"Rail",7261.74,1,"Shortage","High",1,"2023-07",6,4,2,"Q3",0
"O1148","B29","S8","Pharma",389,2023-09-02,2023-09-03,2023-09-06,"Sea",32756.17,1,"Shortage","Low",1,"2023-09",4,1,3,"Q3",0
"O1149","B39","S11","Textiles",96,2023-02-28,2023-03-01,2023-03-10,"Rail",37060.57,0,"None","None",0,"2023-02",10,1,9,"Q1",1
"O1150","B29","S25","Electronics",64,2023-11-21,2023-11-23,2023-12-11,"Rail",16123.55,10,"Strike","Medium",1,"2023-11",20,2,18,"Q4",0
"O1151","B23","S30","Electronics",485,2023-06-10,2023-06-12,2023-06-17,"Rail",32419.21,0,"None","None",0,"2023-06",7,2,5,"Q2",1
"O1152","B46","S25","Electronics",809,2023-06-28,2023-07-01,2023-07-08,"Rail",20058.98,0,"None","None",0,"2023-06",10,3,7,"Q2",1
"O1153","B19","S11","Electronics",187,2023-07-25,2023-07-27,2023-08-06,"Air",35803.74,1,"Customs","Low",1,"2023-07",12,2,10,"Q3",0
"O1154","B2","S13","Food",400,2023-01-12,2023-01-15,2023-01-24,"Rail",10361.16,3,"Shortage","Medium",1,"2023-01",12,3,9,"Q1",0
"O1155","B22","S21","Electronics",358,2023-10-03,2023-10-05,2023-10-09,"Air",44565.64,1,"Shortage","Low",1,"2023-10",6,2,4,"Q4",0
"O1156","B15","S6","Textiles",17,2023-06-30,2023-07-01,2023-07-08,"Air",14726.78,1,"Strike","Low",1,"2023-06",8,1,7,"Q2",0
"O1157","B19","S14","Machinery",842,2023-08-30,2023-09-01,2023-09-07,"Rail",18705.41,0,"None","None",0,"2023-08",8,2,6,"Q3",1
"O1158","B31","S21","Electronics",322,2023-08-04,2023-08-07,2023-08-20,"Road",3375.55,5,"Customs","High",1,"2023-08",16,3,13,"Q3",0
"O1159","B38","S17","Food",768,2023-09-08,2023-09-11,2023-09-16,"Air",6019.85,2,"Shortage","Medium",1,"2023-09",8,3,5,"Q3",0
"O1160","B12","S29","Food",844,2023-10-26,2023-10-29,2023-11-05,"Road",26035.16,3,"Strike","High",1,"2023-10",10,3,7,"Q4",0
"O1161","B30","S16","Electronics",993,2023-05-06,2023-05-09,2023-05-15,"Road",13745.84,1,"Strike","High",1,"2023-05",9,3,6,"Q2",0
"O1162","B6","S6","Machinery",992,2023-08-05,2023-08-06,2023-08-09,"Rail",41856.27,2,"Weather","Medium",1,"2023-08",4,1,3,"Q3",0
"O1163","B5","S4","Electronics",452,2023-11-02,2023-11-05,2023-11-21,"Sea",1227.32,7,"Shortage","Low",1,"2023-11",19,3,16,"Q4",0
"O1164","B42","S4","Food",776,2023-10-12,2023-10-14,2023-10-19,"Rail",19265.16,1,"Shortage","High",1,"2023-10",7,2,5,"Q4",0
"O1165","B44","S3","Pharma",337,2023-07-04,2023-07-05,2023-07-13,"Sea",17198.6,0,"None","None",0,"2023-07",9,1,8,"Q3",1
"O1166","B23","S23","Textiles",63,2023-02-08,2023-02-12,2023-02-20,"Sea",1456.72,3,"Customs","High",1,"2023-02",12,4,8,"Q1",0
"O1167","B1","S12","Food",770,2023-08-11,2023-08-12,2023-08-21,"Rail",6656.24,0,"None","None",0,"2023-08",10,1,9,"Q3",1
"O1168","B10","S4","Electronics",248,2023-07-03,2023-07-05,2023-07-13,"Rail",20975.31,5,"Customs","Medium",1,"2023-07",10,2,8,"Q3",0
"O1169","B2","S25","Textiles",238,2023-06-27,2023-06-30,2023-07-04,"Sea",24896.8,1,"Weather","High",1,"2023-06",7,3,4,"Q2",0
"O1170","B27","S7","Electronics",588,2023-10-21,2023-10-22,2023-10-24,"Rail",20512.34,0,"None","None",0,"2023-10",3,1,2,"Q4",1
"O1171","B31","S6","Electronics",60,2023-12-06,2023-12-08,2023-12-11,"Sea",26781.42,2,"Shortage","Low",1,"2023-12",5,2,3,"Q4",0
"O1172","B33","S9","Pharma",618,2023-05-31,2023-06-02,2023-06-08,"Road",29959.02,0,"None","None",0,"2023-05",8,2,6,"Q2",1
"O1173","B29","S12","Textiles",613,2023-05-06,2023-05-08,2023-05-16,"Rail",991.23,0,"None","None",0,"2023-05",10,2,8,"Q2",1
